Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,0.8
Sample Interval,2e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.835600e-01,-0.02
-1.835400e-01,-0.02
-1.835200e-01,-0.04
-1.835000e-01,-0.06
-1.834800e-01,-0.04
-1.834600e-01,-0.02
-1.834400e-01,-0.02
-1.834200e-01,-0.02
-1.834000e-01,-0.02
-1.833800e-01,-0.04
-1.833600e-01,-0.02
-1.833400e-01,-0.02
-1.833200e-01,-0.04
-1.833000e-01,-0.02
-1.832800e-01,-0.02
-1.832600e-01,-0.02
-1.832400e-01,0
-1.832200e-01,-0.02
-1.832000e-01,-0.02
-1.831800e-01,-0.02
-1.831600e-01,-0.02
-1.831400e-01,-0.02
-1.831200e-01,-0.02
-1.831000e-01,-0.02
-1.830800e-01,-0.02
-1.830600e-01,-0.04
-1.830400e-01,-0.04
-1.830200e-01,-0.06
-1.830000e-01,-0.06
-1.829800e-01,-0.04
-1.829600e-01,-0.04
-1.829400e-01,-0.06
-1.829200e-01,-0.04
-1.829000e-01,-0.04
-1.828800e-01,-0.06
-1.828600e-01,-0.04
-1.828400e-01,-0.02
-1.828200e-01,-0.04
-1.828000e-01,-0.04
-1.827800e-01,-0.04
-1.827600e-01,-0.04
-1.827400e-01,-0.02
-1.827200e-01,-0.06
-1.827000e-01,-0.04
-1.826800e-01,-0.02
-1.826600e-01,-0.02
-1.826400e-01,-0.02
-1.826200e-01,-0.02
-1.826000e-01,-0.02
-1.825800e-01,-0.02
-1.825600e-01,-0.06
-1.825400e-01,-0.06
-1.825200e-01,-0.06
-1.825000e-01,-0.06
-1.824800e-01,-0.02
-1.824600e-01,-0.02
-1.824400e-01,-0.04
-1.824200e-01,-0.04
-1.824000e-01,-0.06
-1.823800e-01,-0.06
-1.823600e-01,-0.06
-1.823400e-01,-0.06
-1.823200e-01,-0.06
-1.823000e-01,-0.04
-1.822800e-01,-0.06
-1.822600e-01,-0.04
-1.822400e-01,-0.06
-1.822200e-01,-0.04
-1.822000e-01,-0.04
-1.821800e-01,-0.02
-1.821600e-01,-0.02
-1.821400e-01,-0.02
-1.821200e-01,-0.02
-1.821000e-01,-0.02
-1.820800e-01,-0.02
-1.820600e-01,-0.02
-1.820400e-01,0
-1.820200e-01,-0.02
-1.820000e-01,-0.02
-1.819800e-01,-0.04
-1.819600e-01,-0.04
-1.819400e-01,-0.04
-1.819200e-01,-0.02
-1.819000e-01,-0.02
-1.818800e-01,-0.02
-1.818600e-01,-0.02
-1.818400e-01,-0.06
-1.818200e-01,-0.06
-1.818000e-01,-0.04
-1.817800e-01,-0.02
-1.817600e-01,-0.02
-1.817400e-01,-0.02
-1.817200e-01,-0.04
-1.817000e-01,-0.04
-1.816800e-01,-0.04
-1.816600e-01,-0.04
-1.816400e-01,-0.02
-1.816200e-01,-0.02
-1.816000e-01,0
-1.815800e-01,-0.02
-1.815600e-01,-0.02
-1.815400e-01,-0.02
-1.815200e-01,-0.02
-1.815000e-01,-0.02
-1.814800e-01,-0.04
-1.814600e-01,-0.04
-1.814400e-01,-0.04
-1.814200e-01,-0.02
-1.814000e-01,-0.02
-1.813800e-01,-0.04
-1.813600e-01,-0.04
-1.813400e-01,-0.02
-1.813200e-01,-0.04
-1.813000e-01,-0.02
-1.812800e-01,-0.02
-1.812600e-01,-0.02
-1.812400e-01,-0.02
-1.812200e-01,-0.04
-1.812000e-01,-0.04
-1.811800e-01,-0.04
-1.811600e-01,-0.04
-1.811400e-01,-0.02
-1.811200e-01,-0.02
-1.811000e-01,-0.02
-1.810800e-01,-0.04
-1.810600e-01,-0.02
-1.810400e-01,-0.04
-1.810200e-01,-0.04
-1.810000e-01,-0.02
-1.809800e-01,-0.04
-1.809600e-01,-0.04
-1.809400e-01,-0.02
-1.809200e-01,-0.04
-1.809000e-01,-0.04
-1.808800e-01,-0.04
-1.808600e-01,-0.04
-1.808400e-01,-0.04
-1.808200e-01,-0.04
-1.808000e-01,-0.02
-1.807800e-01,-0.04
-1.807600e-01,-0.04
-1.807400e-01,-0.02
-1.807200e-01,-0.02
-1.807000e-01,-0.02
-1.806800e-01,-0.02
-1.806600e-01,-0.04
-1.806400e-01,-0.04
-1.806200e-01,-0.04
-1.806000e-01,-0.02
-1.805800e-01,-0.04
-1.805600e-01,-0.04
-1.805400e-01,-0.04
-1.805200e-01,-0.04
-1.805000e-01,-0.06
-1.804800e-01,-0.06
-1.804600e-01,-0.06
-1.804400e-01,-0.04
-1.804200e-01,-0.04
-1.804000e-01,-0.02
-1.803800e-01,-0.04
-1.803600e-01,-0.04
-1.803400e-01,-0.04
-1.803200e-01,-0.06
-1.803000e-01,-0.08
